conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,tokens
2069943682229317673,2026-06-25T07:21:59.000Z,0,@tanyarlfes soalny Prabowo tiap pidato cosplay jadi Dementor,2070044819775455424,,tanyarlfes,in,,0,0,0,https://x.com/Ambisbersama/status/2070044819775455424,1759921093593513984,Ambisbersama,soalny prabowo tiap pidato cosplay jadi dementor,"['soalny', 'pidato', 'cosplay', 'dementor']"
2070044465461690803,2026-06-25T07:20:34.000Z,0,"Gue curiga, di dinasti nya Prabowo ini emang dia aslinya pengen di lengserkan seperti tahun 1998 era Soeharto. Biar bisa dikenang sejarahnya lagi. Dia omon2 setiap pidato keliatan banget nunjukin ""nih gue bisa ngomong apa aja di hadapan lu semua, lu semua tetep ga berdaya"". Jirr",2070044465461690803,,,in,,0,0,1,https://x.com/Tdhziaf/status/2070044465461690803,702476371306504192,Tdhziaf,gue curiga di dinasti nya prabowo ini emang dia aslinya pengen di lengserkan seperti tahun 1998 era soeharto biar bisa dikenang sejarahnya lagi dia omon2 setiap pidato keliatan banget nunjukin nih gue bisa ngomong apa saja di hadapan lu semua lu semua tetep tidak_berdaya jirr,"['curiga', 'dinasti', 'nya', 'emang', 'asli', 'ken', 'lengser', '1998', 'era', 'soeharto', 'biar', 'kenang', 'sejarah', 'omon2', 'pidato', 'liat', 'nunjukin', 'nih', 'ngomong', 'hadap', 'tetep', 'tidak daya', 'jirr']"
2070044320640737776,2026-06-25T07:20:00.000Z,0,"[FULL] IHSG Terkoreksi saat Presiden Prabowo Pidato? Pengamat Soroti Figur Pemimpin Negara

https://t.co/m9HlHRjM1A",2070044320640737776,,,in,,0,1,0,https://x.com/KompasTV/status/2070044320640737776,71436318,KompasTV,full ihsg terkoreksi saat presiden_prabowo pidato pengamat soroti figur pemimpin negara,"['full', 'ihsg', 'koreksi', 'presiden prabowo', 'pidato', 'amat', 'sorot', 'figur', 'pimpin', 'negara']"
2070043804309008569,2026-06-25T07:17:57.000Z,0,"Saatnya pulang ke Indonesia, BM pertama kali pulang ke indo bukan makan makanan indo tapi ingin melihat pidato prabowo 🥰 https://t.co/A3dXP2YHWJ",2070043804309008569,https://pbs.twimg.com/tweet_video_thumb/HLpF3qyXsAAK7WP.jpg,,in,,0,0,0,https://x.com/IRHMPTRA/status/2070043804309008569,178180446,IRHMPTRA,saatnya pulang ke indonesia bm pertama kali pulang ke indonesia bukan_makan makanan indonesia tapi ingin melihat pidato_prabowo,"['pulang', 'indonesia', 'bm', 'kali', 'pulang', 'indonesia', 'bukan makan', 'makan', 'indonesia', 'pidato prabowo']"
2070014436908421259,2026-06-25T07:15:49.000Z,0,"@boxxtoc aku liat pidato nya kemarin, ada adegan si prabowo manggil tedy tp kayak salting salting gt najis??? terus org org disana pas teddy bediri pade nyorak nyorakin kayak mendukung??? sumpah najis bgt penjilat rezim skrg segininya bgt 😭 gue yakin di antara yg cie cie in mereka ada yg",2070043267635519727,,boxxtoc,in,,0,0,0,https://x.com/bbarbieie/status/2070043267635519727,1545470143123562496,bbarbieie,aku liat pidato nya kemarin ada adegan si prabowo manggil tedy tapi kayak salting salting gt najis terus orang orang disana pas teddy bediri pade nyorak nyorakin kayak mendukung sumpah najis banget penjilat rezim skrg segininya banget gue yakin di antara yang cie cie in mereka ada yang,"['pidato', 'nya', 'kemarin', 'adegan', 'si', 'manggil', 'tedy', 'salting', 'salting', 'gt', 'najis', 'sana', 'pas', 'teddy', 'bediri', 'pade', 'nyorak', 'nyorakin', 'dukung', 'sumpah', 'najis', 'jilat', 'rezim', 'skrg', 'gin', 'cie', 'cie', 'in']"
2070042195391103256,2026-06-25T07:11:33.000Z,0,Skrg udah bisa ngeprediksi ihsg bakal turun kalo prabowo lg pidato wkwkkw,2070042195391103256,,,in,,0,0,0,https://x.com/cimandawang/status/2070042195391103256,460223290,cimandawang,skrg udah bisa ngeprediksi ihsg bakal turun kalo prabowo lagi pidato wkwkkw,"['skrg', 'udah', 'ngeprediksi', 'ihsg', 'turun', 'pidato', 'wkwkkw']"
2070040502242512977,2026-06-25T07:04:49.000Z,1,Ya allah malu bgt liat pidato prabowo,2070040502242512977,,,in,,0,0,0,https://x.com/happyholidayyay/status/2070040502242512977,1086817480880795650,happyholidayyay,ya allah malu banget liat pidato_prabowo,"['allah', 'malu', 'pidato prabowo']"
2070040443178659935,2026-06-25T07:04:35.000Z,0,"Habis lewat pidato Prabowo kali ini, dari semua pidato yang beredar PIDATO KALI INI BANGSAT BANGET! MALAH NGEJEK DGN NADA SARKAS KETIKA EVERYONE IS DYING. 

Mending ngmg sama iblis daripada mendengarkan prabowo pidato. 

Tujuan lu apa anjir??!",2070040443178659935,,,in,,0,1,0,https://x.com/ricchiera/status/2070040443178659935,2037560062043172864,ricchiera,habis lewat pidato_prabowo kali ini dari semua pidato yang beredar pidato kali ini bangsat banget malah ngejek dgn nada sarkas ketika everyone is dying mending ngmg sama iblis daripada mendengarkan prabowo pidato tujuan lu apa anjir,"['habis', 'pidato prabowo', 'kali', 'pidato', 'edar', 'pidato', 'kali', 'bangsat', 'ngejek', 'dgn', 'nada', 'sarkas', 'everyone', 'is', 'dying', 'mending', 'ngmg', 'iblis', 'dengar', 'pidato', 'tuju', 'anjir']"
2070040241092898821,2026-06-25T07:03:47.000Z,0,"kayaknya waktu yg tepat beli saham itu waktu prabowo pidato, karena di situ saham akan diskon dan tinggal nunggu besoknya... pasti turun lagi",2070040241092898821,,,in,,0,0,0,https://x.com/ant00nioo/status/2070040241092898821,1796394618323705857,ant00nioo,kayaknya waktu yang tepat beli saham itu waktu prabowo pidato karena di situ saham akan diskon dan tinggal nunggu besoknya pasti turun lagi,"['kayak', 'beli', 'saham', 'pidato', 'situ', 'saham', 'diskon', 'tinggal', 'nunggu', 'besok', 'turun']"
2070040235715727769,2026-06-25T07:03:46.000Z,0,Ini lama2 gue beneran sakit kepala dengerin Prabowo pidato.,2070040235715727769,,,in,,0,0,0,https://x.com/pacarnyamatty/status/2070040235715727769,1551955144434102272,pacarnyamatty,ini lama2 gue beneran sakit kepala dengerin prabowo pidato,"['lama2', 'beneran', 'sakit', 'kepala', 'dengerin', 'pidato']"
